video_id,video_title,valid_windows,audio_length
fUgfecJoVes,Like Someone In Love,"[[31.8, 159.8], [181.0, 224.4]]",226.72
gfxQIpfsh-0,The End Of A Love Affair (Rudy Van Gelder Edition/2004 Digital Remaster),"[[3.6, 251.6], [321.2, 411.4]]",413.594
gUJAnqZXszU,Confirmation,"[[0.0, 180.0], [316.2, 466.0]]",477.17
GYmeD07Nne8,Asiatic Raes (Remastered),"[[4.4, 161.4], [302.2, 353.6]]",357.007
hi69YppOnZI,Soul Sister (Rudy Van Gelder Edition/2004 Remaster),"[[0.0, 217.0], [362.0, 463.0]]",465.049
HT_u0WIiQPU,McSplivens (Remastered),"[[0.0, 163.4], [273.0, 337.0]]",342.564
HultWHkIaX8,Smile (Rudy Van Gelder Edition/2004 Remaster),"[[0.0, 198.4]]",203.291
IZEEv_r6F4s,Cherokee (Remastered 2006/Rudy Van Gelder Edition),"[[1.8, 213.2], [218.0, 255.0]]",257.834
JQyCg-HJhZw,Art Pepper - Birks Works (Official Visualizer),"[[21.0, 110.6], [203.8, 251.6]]",260.621
kD_gZ3F6Uu0,Never Will I Marry,"[[13.8, 203.8], [459.8, 491.6]]",512.766
kerBtIWALok,The Backbone,"[[7.8, 208.4], [341.0, 407.0]]",408.276
KGdZRuY-dmY,Young and Foolish,"[[19.4, 169.8], [228.6, 309.4]]",330.606
KHZ4L6k966Q,Alone Together (Remastered/2000),"[[0.0, 183.0], [214.4, 278.4]]",283.678
l7XRMGPlYfQ,The Surrey With The Fringe On Top (Remastered),"[[2.6, 62.6], [66.6, 203.4], [226.6, 270.2], [334.0, 367.0]]",392.046
ledqdsFxW-Q,Castellón After Dark,"[[41.2, 183.4], [260.6, 323.8]]",325.915
lLyWhan-5pg,Second Balcony Jump (Rudy Van Gelder Edition / Remastered 1999),"[[0.0, 216.2], [329.8, 397.6]]",425.97
LphVcrN4Yv4,Strike Up The Band (Remastered/2000),"[[3.8, 164.0], [281.4, 317.4]]",326.287
Ly8tI2iJwcQ,Chicago Calling (Introducing Johnny Griffin),"[[0.0, 169.6], [267.6, 337.0]]",338.849
m8f5MO4iXio,Timeline,"[[27.0, 69.0], [161.2, 354.0]]",365.923
MgJqoftl81I,The Chant,"[[0.0, 222.4]]",396.434
Mk_XIVFHGL0,Johnny Griffin - The Boy Next Door,"[[2.0, 124.4], [170.6, 292.0]]",296.054
my0dXWrN_1M,Dexter Gordon - Willow Weep For Me,"[[24.2, 303.2], [434.2, 487.6]]",527.163
n9zO7iqJnVY,Johnny Griffin - Chicago,"[[0.0, 169.6], [267.6, 334.0]]",334.019
nJ-i3i2B9O0,This I Dig Of You (Remastered 1999/Rudy Van Gelder Edition),"[[3.6, 42.0], [130.0, 293.4], [341.6, 384.4]]",385.846
nNWfY73mNFo,Goodbye,"[[10.6, 144.2], [276.6, 319.2], [329.2, 371.2]]",373.957
ntFqZ5PykGg,Jeepers Creepers,"[[23.8, 135.4], [247.8, 300.2]]",300.931
O2nyGhJ0FnU,Venice,"[[26.6, 74.8]]",172.873
OIIaIDzQRXs,Three O'Clock In The Morning (Rudy Van Gelder Edition / Remastered 1999),"[[5.0, 241.6], [266.2, 330.8]]",341.635
OkC9LxUv1kc,Count on me,"[[0.0, 133.0], [216.8, 257.8]]",257.881
OOgQkeXHO44,Dexter Gordon - Our Love Is Here to Stay,"[[0.0, 194.2], [277.2, 338.2]]",340.265
OsBkm9_vn60,Dexter Gordon Quartet - You Stepped Out of a Dream,"[[7.8, 177.6], [292.8, 391.4]]",398.547
P2C6RInZ-0g,Blue Hour (Remastered/2000),"[[35.6, 194.4]]",318.044
pCsoMPD2H8c,Art Pepper - Tin Tin Deo (Official Visualizer),"[[13.8, 59.0], [65.0, 104.4], [108.2, 150.2], [344.0, 395.0]]",465.885
Q7mj9YdGhnc,Dexter Gordon - A Night In Tunisia,"[[7.6, 267.4], [400.6, 492.0]]",495.467
r9vNUao-Cww,Blues In The Closet (Remastered/2000),"[[15.8, 151.4], [256.8, 289.4]]",301.209
rdRRqdvnqjk,Modal Mood,"[[3.8, 167.0], [270.2, 321.6]]",323.709
Ry5Js0TXjyg,Split Feelin's (Remastered 1999/Rudy Van Gelder Edition),"[[0.0, 149.0], [206.6, 283.0]]",295.683
rYMWS5mk1ls,"""Tangerine"" w/ Emmet Cohen & Patrick Bartley","[[24.6, 235.6], [695.2, 727.0], [733.8, 838.8]]",858.302
sbmKLZ_opuQ,Remember (1999/ Remastered),"[[0.0, 190.4], [294.8, 340.8]]",342.332
SrgFc6AIhNg,Know What I Mean? (Re-take 7),"[[16.0, 53.0], [113.6, 177.8], [233.0, 270.6]]",293.361
SWFrJJmKBFA,Johnny Griffin - These Foolish Things,"[[0.0, 145.0], [207.8, 310.6]]",311.89
sxxWtQeD7gg,Embraceable You,"[[0.0, 196.6], [336.4, 384.6]]",385.683
TlIQ7dFrKgg,Soulmates,"[[26.4, 92.6], [95.6, 217.4], [282.6, 391.4]]",394.368
TpWJhannNzc,I'll Close My Eyes,"[[11.2, 210.2], [290.6, 343.6]]",350.087
TYGKqTib0A8,Dexter Gordon - Scrapple From The Apple,"[[0.0, 306.4], [383.2, 441.2]]",442.247
tYWbzZ4CRjk,Art Pepper - You'd Be So Nice To Come Home To (Official Visualizer),"[[9.6, 93.8], [107.6, 143.8], [278.0, 323.4]]",327.935
UfUIzb4IFgA,Soul Station (Remastered 1999/Rudy Van Gelder Edition),"[[4.8, 278.4], [458.2, 543.4]]",547.41
W5pnptV486o,Clear The Dex (Rudy Van Gelder Edition/2004 Remaster),"[[0.0, 163.8], [244.8, 291.2]]",294.406
wp8PL8e4Gcs,Wonderful! Wonderful! (Remastered),"[[0.0, 159.6], [226.2, 354.8]]",359.886
-wvXgq3UU7c,Tune Up / Sonny Rollins Quartet,"[[4.0, 186.6], [276.2, 344.0]]",350.018
WWj3znyDzC8,Where Or When (Remastered/2000),"[[63.2, 204.0], [343.8, 410.4]]",421.953
XcdvyJfEsVM,Daddy Plays The Horn,"[[0.0, 279.8], [349.8, 420.8], [431.8, 462.2], [482.6, 551.2]]",554.005
XEk8Sy5HVqw,Mil Dew (Remastered 2006/Rudy Van Gelder Edition),"[[1.6, 132.2], [170.8, 233.2]]",233.964
XSuQCGuPOGk,Blue Riff (Remastered),"[[38.0, 166.6], [280.4, 344.0]]",387.913
XVQdghW8FFU,Love For Sale (Rudy Van Gelder Edition / Remastered 1999),"[[21.0, 232.4], [366.0, 447.6]]",457.572
XYpVGIeav4o,Who Cares? (Take 5),"[[4.2, 212.2], [308.2, 354.8]]",355.59
y6oQNo7i0XE,You Can Depend On Me,"[[3.6, 168.2], [251.0, 379.0], [432.2, 536.6]]",537.287
yb9EXs1AC8g,Johnny Griffin - Nice and Easy,"[[0.0, 121.2], [201.6, 261.2]]",261.503
yJPUoRjSaRs,Get Happy,"[[0.0, 134.4], [270.6, 309.4]]",309.476
-yKOH4IBAuw,Elsa,"[[143.4, 216.0]]",350.412
YV2Qw-iy3jE,Azule Serape,"[[47.0, 142.6]]",389.909
zkAxJyNT-NU,Who Cares? ((Take 4)),"[[4.6, 159.2], [160.8, 195.8], [301.8, 353.6]]",355.59
RMpK8gX7C08,Chad Lefkowitz-Brown Standard Sessions Episode #4: This I Dig Of You,"[[3.2, 139.8], [260.0, 305.8]]",307.061
HvZaRHj6xZA,Chad Lefkowitz-Brown Standard Sessions #13 - On Green Dolphin Street,"[[17.0, 213.0], [408.4, 461.6]]",465.885
qGudYctPUv0,Chad Lefkowitz-Brown Standard Sessions #12 - When Will The Blues Leave (Ornette Coleman),"[[0.0, 139.8], [389.2, 420.6]]",420.606
A2DLnEhsimM,Chad Lefkowitz-Brown Standard Sessions #18 - Almost Like Being In Love,"[[0.0, 192.0], [427.6, 504.0]]",507.635
LX8kig5104k,Chad Lefkowitz-Brown Standard Sessions #17 - I'll Remember April,"[[0.0, 209.2], [452.0, 522.4]]",522.449
zhbgBW7YCzc,Chad Lefkowitz-Brown Standard Sessions #7: Out of Nowhere,"[[0.0, 207.8], [210.8, 267.2], [283.6, 313.8], [318.8, 466.4]]",471.226
1xWutDhrWDI,Chad Lefkowitz-Brown Standard Sessions #10 - What Is This Thing Called Love,"[[0.0, 162.0], [298.2, 369.0]]",376.767
azphxfZc4_E,Chad Lefkowitz-Brown Standard Sessions Episode #1: Alone Together,"[[7.0, 108.0], [109.4, 163.6], [300.4, 363.0]]",368.152
