video_id,video_title,valid_windows,audio_length
lLyWhan-5pg,Second Balcony Jump (Rudy Van Gelder Edition / Remastered 1999),"[[0.2, 217.0], [329.0, 398.2]]",425.96
lRkX2WgEOVI,Greensleeves (Take 2),"[[3.8, 115.8], [180.4, 252.6]]",266.96
ltoZ08LGqnU,It's Easy to Remember (But So Hard to Forget),"[[0.2, 143.8]]",168.933
mWuwbDljy5E,Easy Living,"[[0.2, 292.2]]",295.373
OIIaIDzQRXs,Three O'Clock In The Morning (Rudy Van Gelder Edition / Remastered 1999),"[[3.6, 240.8], [265.2, 331.2]]",341.667
oRh0hxV1_SU,Say It (Over And Over Again),"[[0.2, 115.8], [166.8, 232.8]]",255.96
pCsoMPD2H8c,Art Pepper - Tin Tin Deo (Official Visualizer),"[[23.4, 56.0]]",465.874
PHuwdk2YLLc,Art Pepper Quartet - Art's Opus,"[[0.2, 153.2], [195.0, 347.6]]",356.264
Pn3v6xnmhFA,Greensleeves (Take 11),"[[3.8, 126.8], [185.8, 240.4]]",253.707
RFKsndNNgEs,They Say It's Wonderful,"[[53.4, 179.2]]",182.627
rNqhnGxAQPc,Grand Central,"[[0.2, 168.8], [219.2, 271.8]]",273.227
RrpEujlKMnE,For Heavens Sake,"[[23.4, 109.2], [153.8, 215.4]]",227.333
s4b9xywNWRA,Squire's Parlor,"[[0.2, 191.8], [211.8, 337.0]]",340.667
sk9rbWPDLxw,I Wish I Knew,"[[25.8, 152.8], [208.4, 284.8]]",294.505
SP08LBGWF6I,I Love You,"[[0.2, 148.4], [224.0, 286.4]]",290.667
SsXprfyx99w,What's New,"[[43.8, 220.4]]",223.653
SSzNO92kR38,What's New,"[[55.4, 87.6], [125.6, 161.4]]",227.344
STngeJ-Ot5A,The Sleeper,"[[17.8, 168.8], [236.2, 282.0], [295.0, 338.0], [342.6, 395.2]]",432.96
T06fMkPkFYw,I Wish I Knew,"[[23.0, 151.2], [204.0, 288.4]]",290.16
T8m6gY2OpTE,It's Easy To Remember,"[[0.2, 143.4]]",165.56
tjthiSIoBA4,What's New,"[[45.4, 206.8]]",227.04
tSbz2XcpQOs,You Don't Know What Love Is,"[[27.6, 62.8], [84.6, 180.0], [181.2, 306.6]]",315.429
tt2mm5zWQI8,Stan Getz Quartet - Too Marvelous for Words,"[[0.2, 87.2], [118.8, 175.2]]",185.156
tYWbzZ4CRjk,Art Pepper - You'd Be So Nice To Come Home To (Official Visualizer),"[[10.2, 105.8], [108.2, 142.8], [237.8, 269.4], [288.0, 322.8]]",327.935
u2Y3FrXdJtA,Art Pepper Quartet - Val's Pal,"[[0.2, 62.0], [80.4, 119.0]]",131.425
U8NVh5f-vLU,It's Easy To Remember (Take 6),"[[0.2, 152.4]]",167.467
u_qx-wZNCDU,Up 'Gainst The Wall (Bonus Track),"[[0.2, 39.4], [43.4, 80.8], [143.0, 192.0]]",193.867
V5BANWNvxJ0,Tunji,"[[16.6, 179.6]]",395.867
v8xW2uG5KpI,Art Pepper Quartet - Bésame Mucho,"[[4.8, 47.6], [69.4, 216.8]]",248.43
VBY3WI7DyV4,Stan Getz Quartet - You Stepped Out of a Dream,"[[0.2, 174.2]]",183.484
vOsuTmYts7g,Too Young to Go Steady,"[[0.2, 33.6], [37.2, 92.6], [94.6, 133.0], [178.8, 260.0]]",263.576
VWwwUVa8ohE,Waltz for a Lovely Wife,"[[0.2, 137.2], [191.4, 243.6]]",245.307
W-QPfDk2GPg,Nancy (With The Laughing Face),"[[0.2, 173.2]]",191.867
xFN7uvm1Ho8,Estate,"[[8.2, 216.2], [228.0, 262.4], [285.4, 429.8]]",442.0
XRZlFBZsZPM,Too Young to Go Steady,"[[0.2, 126.0], [178.4, 259.8]]",263.4
XVQdghW8FFU,Love For Sale (Rudy Van Gelder Edition / Remastered 1999),"[[8.8, 233.0], [365.4, 425.6]]",457.56
x_vbCt69iq8,All or Nothing At All,"[[35.2, 182.0]]",218.04
YHAKe26KqG4,You Don't Know What Love Is,"[[0.2, 308.2]]",311.56
Z1IOaIg6NEg,Stan Getz Quartet - There's a Small Hotel,"[[5.8, 93.4], [106.0, 175.0]]",184.599
_t3E032TGm8,I Wish I Knew,"[[23.2, 153.8], [204.0, 285.4]]",294.293
